Tweet,Label
"bronze  How did she attack Ashley? Ashley shared with Candiace that she was abstaining from alcohol because she was TTC trying to conceive and a few minutes later she was throwing coronas back. ANYONE would be confused by that behavior when your actions dont match your words”,” JUST IN: TTC employee injured in knife attack,  say a transit worker had been stabbed near Keele Street and Gulliver Avenue, police tweeted Wednesday afternoon. NorthYork 1800222TIPS More here:    ",['avoid']
"For the second time in a week, a TTC employee has been injured in a knife attack, according to police   ",['avoid']
"TTC employee injured in knife attack, Toronto police say   For the second time in a week, a TTC employee has been injured in a knife attack, according to police. TOpoli TorontoTransit onpoli onlab canlab",['avoid']
TorontoPolice seek woman after knife attack on teen at TTC subway station  via     ,['avoid']
 Cops seek woman after knife attack on teen at TTC subwaystation  ,['avoid']
Woman sought in knife attack on teen at TTC subwaystation  ,['avoid']
Woman sought in knife attack on teen at TTC subway station  ,['avoid']
TTC operator suffers minor injuries in knife attack  CityNews..another example of lawlessness in Toronto  ,['avoid']
TTC operator suffers minor injuries in knife attack  ,['avoid']
CityNews TTC operator suffers minor injuries in knife attack. Read Blog:  ,['avoid']
TTC operator hurt in attack with Exacto knife at Eglinton bus bay early this morning; minor injuries 88Toronto,['avoid']
TTC operator suffers minor injuries in knife attack    ,['avoid']
Knife attack and defence clinic tonight at TTC with Cst. John Irving. Thank you  ,['avoid']
October 5th: F.O. Guest instructor John Irving at TTC for first hour on  knife attack\/defence\/shock knife. Open to all Police Judo members.,['avoid']
UPDATE: Accused in TTC subway knife attack faces more charges  ,['avoid']
UPDATED: Bail hearing postponed for accused in TTC subway knife attack.   Toronto,['avoid']
Big lead in knifeattack on 2 sisters near Lawrence amp; Avenue yest. AM: Police released TTC pics of suspect in the vicious double sex assault,['avoid']
Man charged in TTC knife attack  ,['avoid']
Man charged in TTC knife attack: A young Toronto man was charged after a Sunday afternoon subway station knife att...  ,['avoid']
"Man charged in TTC knife attack”, “TPS: reports of fight with weapon at TTC station, arrest made  CTV ...  CTV News Toronto   Toronto Transit TTC GoTransit GoTrain GoBus Transportation",['avoid']
"Person arrested after reported fight with a weapon at TTC station, police say  ",['avoid']
Due to a random stabbing. Another reason not to take the ttc,['avoid']
 Interesting how there was a stabbing at one of your stations 16 hours ago when this account was activeand you said nothing about it.  Its almost like you are told not to talk about these things to improve ridership.   Me and my family will not ever be taking the ttc,['avoid']
Woman found at Dundas subway station with stabbing injuries  Global News   Toronto Transit TTC GoTransit GoTrain GoBus Transportation,['avoid']
Cool. Another stabbing on the TTC and another attempted push onto the tracks. Thanks John Tory. topoli,['avoid']
 24  Read the article the stabbing did not occur on the TTC or at Dundas Station. The stabbing took place at York University near Osgoode Law School the victim then took the subway to Dundas Station.,['avoid']
Victim of stabbing incident located at Dundas subway station  CityNews Toronto   Toronto Transit TTC GoTransit GoTrain GoBus Transportation,['avoid']
" The incident happened at York U, 25 kms away. The media is trying to create fear riding the TTC harley  Stabbing, senior murdered, subway shoving in a day   LIBERALS WANT CONTROL OVER YOUR PERSONAL LIVES. HOW?  FEAR Can you separate the signal from the noise.",['avoid']
Stabbing at Dundas station. Fuck.  ttc delay stabbing ota,['avoid']
Toronto police investigate whether girls alleged subway assaults related to fatal stabbing  Windsor Star:   TTC GoTransit GoTrain GoBus Transit Toronto Transportation,['avoid']
Toronto police investigate whether girls alleged subway assaults related to fatal stabbing  Windsor Star   Toronto Transit TTC GoTransit GoTrain GoBus Transportation,['avoid']
KenLees friends say stabbingvictim was hero in protectinggirlfriend    Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC Publictransit Transit,['avoid']
Police are looking for victims of alleged assaults by teen girls on the TTC in December. They have not confirmed if the incidents are linked to the death of a man who died after an alleged swarmingstyle stabbing by a group of teenage girls.  ,['avoid']
TTC bus driver seriously hurt in stabbing following fare dispute toronto canada bhivenectar bhivelabs nectarsocial  ,['avoid']
We love you: Memorial for Toronto subway stabbing victim grows  CTV News Toronto:   TTC GoTransit GoTrain GoBus Transit Toronto Transportation,['avoid']
"We love you: Memorial for Toronto subway stabbing victim grows  CTV News Toronto   Toronto Transit TTC GoTransit GoTrain GoBus Transportation”, “We love you: Memorial for Toronto subway stabbing victim grows  CP24:   TTC GoTransit GoTrain GoBus Transit Toronto Transportation",['avoid']
We love you: Memorial for Toronto subway stabbing victim grows  CP24   Toronto Transit TTC GoTransit GoTrain GoBus Transportation,['avoid']
Which TTC assault? In the stabbing incident at High Park station last week the police arrested a 52 year old man.,['avoid']
"Its not safe.  avoid Canada. Lots of stabbing deaths here. TTC is not safe, condos are not safe and streets are not safe. Cancel FIFA and any international sports in Canada.",['avoid']
