,tweet
21,Teens charged after Toronto swarming attack also suspects in random TTCassaults    Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers girls TTC Publictransit Transit
22,Several people allegedly assaulted at random by teen girls on TTC   Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC Publictransit Transit
23,"Policeinvestigating alleged assaults by group of teen girls on TTC, wont say if its related to fatal swarming attack    Toronto TOpoli Crime security Police cops Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers"
24,Police seeking victims of allegedassaults by group of teengirls on the TTC in December    Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teenagers Teens girls Publictransit Transit
25,Teen girls in Toronto allegedly attackedpeople at subwaystations   Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC Publictransit Transit
26,Teen girls in Toronto allegedly attacked people at subwaystations    Toronto TOpoli Crime security Police cops Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC Teenagegirls Publictransit Transit
27,Were you swarmed by teengirls on the subway? Police want to speak with you    Toronto TOpoli Crime security Police cops Investigation Murder Manslaughter homicide stabbing Teenagers Teens girls TTC assault Minors Canada Teenagegirls
28,Torontopolice looking for victims after teens allegedly assaulted multiple people    Toronto TOpoli Crime security Police cops Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC assault Minors Canada
29,Torontopolice looking for victims after teens allegedly assaulted multiplepeople    Toronto TOpoli Crime security Police cops Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC assault Minors Canada
31,Teen girls charged in swarming death of homelessman are suspects in random TTC assaults:   Toronto TOpoli Crime security Police cops Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC assault Canada
32,TTCriders randomly assaulted by group of teen girls   Toronto TOpoli Crime security Police cops Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC assault Minors Canada Teenagegirls
33,Policeidentify Toronto man allegedly stabbed to death by teen girls    Toronto TOpoli Crime security Police cops Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC assault Minors Canada
34,Canada girls assaulted people same night as killing    Toronto TOpoli Crime security Police cops Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC assault Minors
35,Police are looking for victims of alleged assaults by teen girls on the TTC in December. They have not confirmed if the incidents are linked to the death of a man who died after an alleged swarmingstyle stabbing by a group of teenage girls.      
36,Unidentified man sought for stranger stabbing on bus in Mississauga  Toronto Sun:   TTC GoTransit GoTrain GoBus Transit Toronto Transportation
37,Unidentified man sought for stranger stabbing on bus in Mississauga  Toronto Sun   Toronto Transit TTC GoTransit GoTrain GoBus Transportation
38,"Boy, 14, charged in TTC bus driver stabbing toronto canada bhivenectar bhivelabs nectarsocial  "
39, All this sounds so great... until the next stabbing our outage at the TTC.  The only question I have for  is... what happened to the SmartTrack?
40,  Id love to see social workers tackle a man with a knife stabbing people on the TTC.
43,TTC bus driver seriously hurt in stabbing following fare dispute toronto canada bhivenectar bhivelabs nectarsocial  
44," Disgrace,no one is safe,home invasionsamp; cars stolen at gun point,TTC amp; subway stabbing,POLICE are gunned down.BILLIONS funded to Communist countries,millions of unvetted,unskilled immigrants are flooding cities,health care has crumbled,Highest taxes amp; inflation.TRUDEAU amp; J SINGH"
45,We love you: Memorial for Toronto subway stabbing victim grows  CTV News Toronto:   TTC GoTransit GoTrain GoBus Transit Toronto Transportation
46,We love you: Memorial for Toronto subway stabbing victim grows  CTV News Toronto   Toronto Transit TTC GoTransit GoTrain GoBus Transportation
47,We love you: Memorial for Toronto subway stabbing victim grows  CP24:   TTC GoTransit GoTrain GoBus Transit Toronto Transportation
48,We love you: Memorial for Toronto subway stabbing victim grows  CP24   Toronto Transit TTC GoTransit GoTrain GoBus Transportation
49, Which TTC assault? In the stabbing incident at High Park station last week the police arrested a 52 year old man.
50,"G I decided to avoid as much TTC and use my car. Not save anymore after an every day headline of stabbing, pushing, dumping acid. I rather paid the overpriced parking."
51," Its not safe.  avoid Canada. Lots of stabbing deaths here. TTC is not safe, condos are not safe and streets are not safe. Cancel FIFA and any international sports in Canada."
52,"2. Four TTC riders were assaulted over the weekend. The series follows a spate of violent incidents on Torontos subway system, including a string of robberies last week and the fatal stabbing of Vanessa Kurpiewska at High Park Station."
53,"ANOTHER stabbing against a woman on the ttc what the fuck , Ontario isnt safe anymore."
54,2 Why police didnt search his house for guns? What is your point here? the incompetence of the Police in this case? Why  didnt you say anything about the  girl stabbed to death on TTC station last week? If you die by stabbing are you less dead? Shut up
